Number    Value       Result                                  
326       4.25        Even_max error: log argument < 0        
327       4.26        -0.00702660476316529                    
328       4.27        Even_max error: log argument < 0        
329       4.28        -0.00709349422356551                    
330       4.29        Even_max error: log argument < 0        
331       4.30        -0.007157546380854966                   
332       4.31        Even_max error: log argument < 0        
333       4.32        -0.00721873561502476                    
334       4.33        Even_max error: log argument < 0        
335       4.34        -0.0072770374511970685                  
336       4.35        Even_max error: log argument < 0        
337       4.36        -0.007332428569414771                   
338       4.37        Even_max error: log argument < 0        
339       4.38        -0.007384886813969118                   
340       4.39        Even_max error: log argument < 0        
341       4.40        -0.007434391202261722                   
342       4.41        Even_max error: log argument < 0        
343       4.42        -0.007480921933197317                   
344       4.43        Even_max error: log argument < 0        
345       4.44        -0.007524460395103928                   
346       4.45        Even_max error: log argument < 0        
347       4.46        -0.007564989173177299                   
348       4.47        Even_max error: log argument < 0        
349       4.48        -0.007602492056446576                   
350       4.49        Even_max error: log argument < 0        
351       4.50        -0.0076369540442584845                  
352       4.51        Even_max error: log argument < 0        
353       4.52        -0.0076683613522773855                  
354       4.53        Even_max error: log argument < 0        
355       4.54        -0.00769670141799883                    
356       4.55        Even_max error: log argument < 0        
357       4.56        -0.007721962905774394                   
358       4.57        Even_max error: log argument < 0        
359       4.58        -0.007744135711345779                   
360       4.59        Even_max error: log argument < 0        
361       4.60        -0.007763210965886393                   
362       4.61        Even_max error: log argument < 0        
363       4.62        -0.007779181039548752                   
364       4.63        Even_max error: log argument < 0        
365       4.64        -0.007792039544516322                   
366       4.65        Even_max error: log argument < 0        
367       4.66        -0.007801781337558562                   
368       4.67        Even_max error: log argument < 0        
369       4.68        -0.007808402522088142                   
370       4.69        Even_max error: log argument < 0        
371       4.70        -0.0078119004497195325                  
372       4.71        Even_max error: log argument < 0        
373       4.72        -0.00781227372132832                    
374       4.73        Even_max error: log argument < 0        
375       4.74        -0.007809522187610836                   
376       4.75        Even_max error: log argument < 0        
377       4.76        -0.007803646949143882                   
378       4.77        Even_max error: log argument < 0        
379       4.78        -0.00779465035594451                    
380       4.79        Even_max error: log argument < 0        
381       4.80        -0.007782536006530045                   
382       4.81        Even_max error: log argument < 0        
383       4.82        -0.007767308746478733                   
384       4.83        Even_max error: log argument < 0        
385       4.84        -0.007748974666491564                   
386       4.85        Even_max error: log argument < 0        
387       4.86        -0.0077275410999560834                  
388       4.87        Even_max error: log argument < 0        
389       4.88        -0.007703016620013128                   
390       4.89        Even_max error: log argument < 0        
391       4.90        -0.007675411036127687                   
392       4.91        Even_max error: log argument < 0        
393       4.92        -0.007644735390165244                   
394       4.93        Even_max error: log argument < 0        
395       4.94        -0.00761100195197518                    
396       4.95        Even_max error: log argument < 0        
397       4.96        -0.007574224214483001                   
398       4.97        Even_max error: log argument < 0        
399       4.98        -0.007534416888293337                   
400       4.99        Even_max error: log argument < 0        
401       5.00        -0.007491595895805909                   
402       5.01        Even_max error: log argument < 0        
403       5.02        -0.007445778364846772                   
404       5.03        Even_max error: log argument < 0        
405       5.04        -0.007396982621817418                   
406       5.05        Even_max error: log argument < 0        
407       5.06        -0.0073452281843644565                  
408       5.07        Even_max error: log argument < 0        
409       5.08        -0.0072905357535728195                  
410       5.09        Even_max error: log argument < 0        
411       5.10        -0.0072329272056856015                  
412       5.11        Even_max error: log argument < 0        
413       5.12        -0.007172425583353852                   
414       5.13        Even_max error: log argument < 0        
415       5.14        -0.007109055086419827                   
416       5.15        Even_max error: log argument < 0        
417       5.16        -0.007042841062237373                   
418       5.17        Even_max error: log argument < 0        
419       5.18        -0.006973809995533318                   
420       5.19        Even_max error: log argument < 0        
421       5.20        -0.006901989497813944                   
422       5.21        Even_max error: log argument < 0        
423       5.22        -0.006827408296320744                   
424       5.23        Even_max error: log argument < 0        
425       5.24        -0.006750096222539912                   
426       5.25        Even_max error: log argument < 0        
427       5.26        -0.006670084200270148                   
428       5.27        Even_max error: log argument < 0        
429       5.28        -0.0065874042332535465                  
430       5.29        Even_max error: log argument < 0        
431       5.30        -0.006502089392374529                   
432       5.31        Even_max error: log argument < 0        
433       5.32        -0.00641417380243193                    
434       5.33        Even_max error: log argument < 0        
435       5.34        -0.006323692628489537                   
436       5.35        Even_max error: log argument < 0        
437       5.36        -0.006230682061810524                   
438       5.37        Even_max error: log argument < 0        
439       5.38        -0.006135179305381442                   
440       5.39        Even_max error: log argument < 0        
441       5.40        -0.006037222559031506                   
442       5.41        Even_max error: log argument < 0        
443       5.42        -0.0059368510041531855                  
444       5.43        Even_max error: log argument < 0        
445       5.44        -0.0058341047880301625                  
446       5.45        Even_max error: log argument < 0        
447       5.46        -0.005729025007778953                   
448       5.47        Even_max error: log argument < 0        
449       5.48        -0.005621653693910615                   
450       5.49        Even_max error: log argument < 0        
451       5.50        -0.005512033793519095                   
452       5.51        Even_max error: log argument < 0        
453       5.52        -0.005400209153102972                   
454       5.53        Even_max error: log argument < 0        
455       5.54        -0.005286224501027436                   
456       5.55        Even_max error: log argument < 0        
457       5.56        -0.005170125429633543                   
458       5.57        Even_max error: log argument < 0        
459       5.58        -0.005051958377001883                   
460       5.59        Even_max error: log argument < 0        
461       5.60        -0.00493177060837797                    
462       5.61        Even_max error: log argument < 0        
463       5.62        -0.00480961019726677                    
464       5.63        Even_max error: log argument < 0        
465       5.64        -0.004685526006203944                   
466       5.65        Even_max error: log argument < 0        
467       5.66        -0.0045595676672114845                  
468       5.67        Even_max error: log argument < 0        
469       5.68        -0.004431785561945565                   
470       5.69        Even_max error: log argument < 0        
471       5.70        -0.004302230801544554                   
472       5.71        Even_max error: log argument < 0        
473       5.72        -0.004170955206185237                   
474       5.73        Even_max error: log argument < 0        
475       5.74        -0.004038011284355441                   
476       5.75        Even_max error: log argument < 0        
477       5.76        -0.0039034522118513355                  
478       5.77        Even_max error: log argument < 0        
479       5.78        -0.003767331810507825                   
480       5.79        Even_max error: log argument < 0        
481       5.80        -0.0036297045266705324                  
482       5.81        Even_max error: log argument < 0        
483       5.82        -0.0034906254094179867                  
484       5.83        Even_max error: log argument < 0        
485       5.84        -0.0033501500885427258                  
486       5.85        Even_max error: log argument < 0        
487       5.86        -0.00320833475230012                    
488       5.87        Even_max error: log argument < 0        
489       5.88        -0.0030652361249338205                  
490       5.89        Even_max error: log argument < 0        
491       5.90        -0.0029209114439868174                  
492       5.91        Even_max error: log argument < 0        
493       5.92        -0.0027754184374071864                  
494       5.93        Even_max error: log argument < 0        
495       5.94        -0.0026288153004576783                  
496       5.95        Even_max error: log argument < 0        
497       5.96        -0.0024811606724383906                  
498       5.97        Even_max error: log argument < 0        
499       5.98        -0.002332513613231829                   
500       5.99        Even_max error: log argument < 0        
501       6.00        -0.0021829335796797415                  
502       6.01        Even_max error: log argument < 0        
503       6.02        -0.002032480401801175                   
504       6.03        Even_max error: log argument < 0        
505       6.04        -0.001881214258861265                   
506       6.05        Even_max error: log argument < 0        
507       6.06        -0.0017291956553003335                  
508       6.07        Even_max error: log argument < 0        
509       6.08        -0.0015764853965329162                  
510       6.09        Even_max error: log argument < 0        
511       6.10        -0.001423144564626411                   
512       6.11        Even_max error: log argument < 0        
513       6.12        -0.001269234493869063                   
514       6.13        Even_max error: log argument < 0        
515       6.14        -0.0011148167462370683                  
516       6.15        Even_max error: log argument < 0        
517       6.16        -0.000959953086770604                   
518       6.17        Even_max error: log argument < 0        
519       6.18        -0.0008047054588686352                  
520       6.19        Even_max error: log argument < 0        
521       6.20        -0.0006491359595123821                  
522       6.21        Even_max error: log argument < 0        
523       6.22        -0.0004933068144273548                  
524       6.23        Even_max error: log argument < 0        
525       6.24        -0.000337280353193893                   
526       6.25        Even_max error: log argument < 0        
527       6.26        -0.00018111898431616508                 
528       6.27        Even_max error: log argument < 0        
529       6.28        -2.4885170259598314e-05                 
530       6.29        Even_max error: log argument < 0        
531       6.30        0.00013135859753327447                  
532       6.31        Even_max error: log argument < 0        
533       6.32        0.00028754982363855857                  
534       6.33        Even_max error: log argument < 0        
535       6.34        0.00044362603364833376                  
536       6.35        Even_max error: log argument < 0        
537       6.36        0.0005995247991595845                   
538       6.37        Even_max error: log argument < 0        
539       6.38        0.0007551837627447289                   
540       6.39        Even_max error: log argument < 0        
541       6.40        0.0009105406628937579                   
542       6.41        Even_max error: log argument < 0        
543       6.42        0.00106553335891801                     
544       6.43        Even_max error: log argument < 0        
545       6.44        0.0012200998558056166                   
546       6.45        Even_max error: log argument < 0        
547       6.46        0.0013741783290186823                   
548       6.47        Even_max error: log argument < 0        
549       6.48        0.001527707149222274                    
550       6.49        Even_max error: log argument < 0        
551       6.50        0.0016806249069353336                   
552       6.51        Even_max error: log argument < 0        
553       6.52        0.0018328704370936528                   
554       6.53        Even_max error: log argument < 0        
555       6.54        0.001984382843515081                    
556       6.55        Even_max error: log argument < 0        
557       6.56        0.0021351015232571884                   
558       6.57        Even_max error: log argument < 0        
559       6.58        0.0022849661908576338                   
560       6.59        Even_max error: log argument < 0        
561       6.60        0.0024339169024475455                   
562       6.61        Even_max error: log argument < 0        
563       6.62        0.0025818940797282712                   
564       6.63        Even_max error: log argument < 0        
565       6.64        0.002728838533801901                    
566       6.65        Even_max error: log argument < 0        
567       6.66        0.0028746914888460387                   
568       6.67        Even_max error: log argument < 0        
569       6.68        0.003019394605623347                    
570       6.69        Even_max error: log argument < 0        
571       6.70        0.003162890004816464                    
572       6.71        Even_max error: log argument < 0        
573       6.72        0.0033051202901789585                   
574       6.73        Even_max error: log argument < 0        
575       6.74        0.0034460285714930645                   
576       6.75        Even_max error: log argument < 0        
577       6.76        0.003585558487325009                    
578       6.77        Even_max error: log argument < 0        
579       6.78        0.0037236542275688317                   
580       6.79        Even_max error: log argument < 0        
581       6.80        0.0038602605557696884                   
582       6.81        Even_max error: log argument < 0        
583       6.82        0.003995322831217692                    
584       6.83        Even_max error: log argument < 0        
585       6.84        0.004128787030803469                    
586       6.85        Even_max error: log argument < 0        
587       6.86        0.004260599770626684                    
588       6.87        Even_max error: log argument < 0        
589       6.88        0.004390708327348889                    
590       6.89        Even_max error: log argument < 0        
591       6.90        0.0045190606592821515                   
592       6.91        Even_max error: log argument < 0        
593       6.92        0.004645605427205039                    
594       6.93        Even_max error: log argument < 0        
595       6.94        0.004770292014897625                    
596       6.95        Even_max error: log argument < 0        
597       6.96        0.004893070549387298                    
598       6.97        Even_max error: log argument < 0        
599       6.98        0.005013891920897287                    
600       6.99        Even_max error: log argument < 0        
601       7.00        0.005132707802489918                    
602       7.01        Even_max error: log argument < 0        
603       7.02        0.005249470669396744                    
604       7.03        Even_max error: log argument < 0        
605       7.04        0.00536413381802782                     
606       7.05        Even_max error: log argument < 0        
607       7.06        Odd_min error: log argument < 0         
608       7.07        Even_max error: log argument < 0        
609       7.08        Odd_min error: log argument < 0         
610       7.09        3.72338734081107                        
611       7.10        Odd_min error: log argument < 0         
612       7.11        2.8520819622379827                      
613       7.12        Odd_min error: log argument < 0         
614       7.13        2.636260177542264                       
615       7.14        Odd_min error: log argument < 0         
616       7.15        2.507216712956766                       
617       7.16        Odd_min error: log argument < 0         
618       7.17        2.4149114335776596                      
619       7.18        Odd_min error: log argument < 0         
620       7.19        2.3430423942579077                      
621       7.20        Odd_min error: log argument < 0         
622       7.21        2.2842201548660497                      
623       7.22        Odd_min error: log argument < 0         
624       7.23        2.23446221192734                        
625       7.24        Odd_min error: log argument < 0         
626       7.25        2.1913750427615226                      
627       7.26        Odd_min error: log argument < 0         
628       7.27        2.153407192994022                       
629       7.28        Odd_min error: log argument < 0         
630       7.29        2.1194954306088007                      
631       7.30        Odd_min error: log argument < 0         
632       7.31        2.0888792179461597                      
633       7.32        Odd_min error: log argument < 0         
634       7.33        2.060995715906755                       
635       7.34        Odd_min error: log argument < 0         
636       7.35        2.035416703171919                       
637       7.36        Odd_min error: log argument < 0         
638       7.37        2.011808807475122                       
639       7.38        Odd_min error: log argument < 0         
640       7.39        1.9899074185201107                      
641       7.40        Odd_min error: log argument < 0         
642       7.41        1.969498996094075                       
643       7.42        Odd_min error: log argument < 0         
644       7.43        1.9504087264875114                      
645       7.44        Odd_min error: log argument < 0         
646       7.45        1.9324916971877277                      
647       7.46        Odd_min error: log argument < 0         
648       7.47        1.9156264511130374                      
649       7.48        Odd_min error: log argument < 0         
650       7.49        1.8997101897279773                      
651       7.50        Odd_min error: log argument < 0         
652       7.51        1.8846551434339731                      
653       7.52        Odd_min error: log argument < 0         
654       7.53        1.870385784152833                       
655       7.54        Odd_min error: log argument < 0         
656       7.55        1.8568366559760556                      
657       7.56        Odd_min error: log argument < 0         
658       7.57        1.8439506663939191                      
659       7.58        Odd_min error: log argument < 0         
660       7.59        1.8316777255350287                      
661       7.60        Odd_min error: log argument < 0         
662       7.61        1.8199736516926979                      
663       7.62        Odd_min error: log argument < 0         
664       7.63        1.8087992829646515                      
665       7.64        Odd_min error: log argument < 0         
666       7.65        1.798119750122861                       
667       7.66        Odd_min error: log argument < 0         
668       7.67        1.7879038768350295                      
669       7.68        Odd_min error: log argument < 0         
670       7.69        1.7781236813850811                      
671       7.70        Odd_min error: log argument < 0         
672       7.71        1.7687539599635915                      
673       7.72        Odd_min error: log argument < 0         
674       7.73        1.759771936020135                       
